id	tag	word	prev_word	next_word	label
0	@	@bionicsix1		@phanerozoic11	univ
1	@	@phanerozoic11	@bionicsix1	@pari_cious	univ
2	@	@pari_cious	@phanerozoic11	bohut	univ
3	G_SYM	bohut	@pari_cious	achay	hi
4	G_J	achay	bohut	ayay	hi
5	G_V	ayay	achay	0	hi
6	G_X	0	ayay	Mixed	univ
7	G_J	Mixed	0	dabay	en
8	G_N	dabay	Mixed	Wala	hi
9	G_PRT	Wala	dabay	mix	hi
10	G_N	mix	Wala	n	en
11	CC	n	mix	maida	en
12	G_N	maida	n	0	hi
13	G_X	0	maida	Apna	univ
14	G_PRP	Apna	0	hee	hi
15	G_PRT	hee	Apna	koi	hi
16	G_PRP	koi	hee	taste	hi
17	G_J	taste	koi	bana	en
18	G_V	bana	taste	liya	hi
19	G_V	liya	bana	:)	hi
20	E	:)	liya		univ
21	G_V	listening		to	en
22	G_PRT	to	listening	Ishq	en
23	G_N	Ishq	to	Wala	hi
24	G_PRT	Wala	Ishq	Love	hi
25	G_N	Love	Wala	(	en
26	G_X	(	Love	From	univ
27	PSP	From	(	double_quotes	en
28	G_X	double_quotes	From	Student	univ
29	G_N	Student	double_quotes	of	en
30	PSP	of	Student	the	en
31	DT	the	of	Year	en
32	G_N	Year	the	double_quotes	en
33	G_X	double_quotes	Year	)	univ
34	G_X	)	double_quotes	The	univ
35	DT	The	)	DJ	en
36	G_N	DJ	The	Suketu	acro
37	G_N	Suketu	DJ	Lounge	ne
38	G_N	Lounge	Suketu	Mix	en
39	G_N	Mix	Lounge		en
40	G_PRP	I		liked	en
41	G_V	liked	I	a	en
42	DT	a	liked	@YouTube	en
43	@	@YouTube	a	video	univ
44	G_N	video	@YouTube	http://t.co/Y9edo1yfRN	en
45	U	http://t.co/Y9edo1yfRN	video	Don	univ
46	G_N	Don	http://t.co/Y9edo1yfRN	-	en
47	G_X	-	Don	khaike	univ
48	G_V	khaike	-	paan	hi
49	G_N	paan	khaike	banaras	hi
50	G_J	banaras	paan	wala	hi
51	G_PRT	wala	banaras	old	hi
52	G_J	old	wala	and	en
53	CC	and	old	new	en
54	G_J	new	and	mix	en
55	G_N	mix	new		en
56	G_N	IshQ		waLa	hi
57	G_PRT	waLa	IshQ	||	hi
58	G_X	||	waLa	~	univ
59	G_X	~	||	^ŁøVě^	univ
60	G_N	^ŁøVě^	~	~	univ
61	G_X	~	^ŁøVě^	||	univ
62	G_X	||	~	—	univ
63	G_X	—	||	listening	univ
64	G_V	listening	—	to	en
65	G_PRT	to	listening	Ishq	en
66	G_N	Ishq	to	Wala	hi
67	G_PRT	Wala	Ishq	Love	hi
68	G_N	Love	Wala	(	en
69	G_X	(	Love	From	univ
70	PSP	From	(	double_quotes	en
71	G_X	double_quotes	From	Student	univ
72	G_N	Student	double_quotes	of	en
73	PSP	of	Student	the	en
74	DT	the	of	Year	en
75	G_N	Year	the	double_quotes	en
76	G_X	double_quotes	Year	)	univ
77	G_X	)	double_quotes	The	univ
78	DT	The	)	DJ	en
79	G_N	DJ	The	Suketu	acro
80	G_N	Suketu	DJ	Lounge	ne
81	G_N	Lounge	Suketu	Mix	en
82	G_N	Mix	Lounge		en
83	@	@Tina32kaur		it	univ
84	G_PRP	it	@Tina32kaur	is	en
85	G_V	is	it	indeed	en
86	G_R	indeed	is	,	en
87	G_X	,	indeed	when	univ
88	G_R	when	,	its	en
89	DT	its	when	possible	en
90	G_J	possible	its	play	en
91	G_V	play	possible	a	en
92	DT	a	play	lovely	en
93	G_J	lovely	a	bacha	en
94	G_N	bacha	lovely	wala	hi
95	G_PRT	wala	bacha	track	hi
96	G_N	track	wala	for	en
97	PSP	for	track	me	en
98	G_PRP	me	for	:)	en
99	E	:)	me	Am	univ
100	G_N	Am	:)	having	en
101	G_V	having	Am	serious	en
102	G_J	serious	having	mix	en
103	G_N	mix	serious	emotions	en
104	G_N	emotions	mix	these	en
105	G_PRP	these	emotions	days	en
106	G_N	days	these	0	en
107	G_X	0	days		univ
108	@	@SRKswarrior1		Bhai	univ
109	G_N	Bhai	@SRKswarrior1	Koi	hi
110	G_PRP	Koi	Bhai	pehchan	hi
111	G_N	pehchan	Koi	wala	hi
112	G_PRT	wala	pehchan	Jo	hi
113	G_PRP	Jo	wala	...	hi
114	G_X	...	Jo	songs	univ
115	G_N	songs	...	compile	en
116	G_V	compile	songs	kr	en
117	G_V	kr	compile	le	hi
118	G_V	le	kr	kl	hi
119	G_N	kl	le	sis	hi
120	G_N	sis	kl	ka	en
121	PSP	ka	sis	dance	hi
122	G_N	dance	ka	competition	en
123	G_N	competition	dance	he	en
124	G_V	he	competition	....	hi
125	G_X	....	he	teeno	univ
126	G_SYM	teeno	....	mix	hi
127	G_N	mix	teeno	krne	en
128	G_V	krne	mix	hein	hi
129	G_V	hein	krne	without	hi
130	PSP	without	hein	pause	en
131	G_V	pause	without		en
132	G_PRP	Ye		Veet	hi
133	G_N	Veet	Ye	ke	ne
134	PSP	ke	Veet	0	hi
135	G_X	0	ke	ad	univ
136	G_N	ad	0	0	en
137	G_X	0	ad	main	univ
138	PSP	main	0	wo	hi
139	G_PRP	wo	main	ladki	hi
140	G_N	ladki	wo	kitni	hi
141	G_R	kitni	ladki	gandhi	hi
142	G_N	gandhi	kitni	aur	hi
143	CC	aur	gandhi	over	hi
144	PSP	over	aur	acting	en
145	G_V	acting	over	karti	en
146	G_V	karti	acting	hai	hi
147	G_V	hai	karti	0	hi
148	G_X	0	hai	Ye	univ
149	G_PRP	Ye	0	girl	hi
150	G_N	girl	Ye	models	en
151	G_N	models	girl	ko	en
152	PSP	ko	models	itni	hi
153	G_R	itni	ko	Galatfahmi	hi
154	G_J	Galatfahmi	itni	kyon	hi
155	G_PRP	kyon	Galatfahmi	hoti	hi
156	G_V	hoti	kyon	hai	hi
157	G_V	hai	hoti	ki	hi
158	PSP	ki	hai	wo	hi
159	G_PRP	wo	ki	badi	hi
160	G_J	badi	wo	actress	hi
161	G_N	actress	badi	hain	en
162	G_V	hain	actress		hi
163	G_N	Life		Ok	en
164	G_N	Ok	Life	Dream	en
165	G_J	Dream	Ok	Girl	en
166	G_N	Girl	Dream	Ek	en
167	G_SYM	Ek	Girl	Ladki	hi
168	G_N	Ladki	Ek	Deewani	hi
169	G_J	Deewani	Ladki	Si	hi
170	PSP	Si	Deewani	Upcoming	hi
171	G_J	Upcoming	Si	Tv	en
172	G_N	Tv	Upcoming	show	acro
173	G_N	show	Tv	Story	en
174	G_N	Story	show	|	en
175	G_X	|	Story	Star	univ
176	G_N	Star	|	Cast	en
177	G_N	Cast	Star	|	en
178	G_X	|	Cast	Timing	univ
179	G_N	Timing	|	|	en
180	G_X	|	Timing	Promo	univ
181	G_N	Promo	|	Wiki	en
182	G_N	Wiki	Promo	|	ne
183	G_X	|	Wiki	Ne	univ
184	G_N	Ne	|	http://t.co/X9AhZRRPiD	hi
185	U	http://t.co/X9AhZRRPiD	Ne		univ
186	$	1		Ladke	univ
187	G_N	Ladke	1	Ne	hi
188	PSP	Ne	Ladke	ek	hi
189	G_SYM	ek	Ne	Ladki	hi
190	G_N	Ladki	ek	Ko	hi
191	PSP	Ko	Ladki	Call	hi
192	G_V	Call	Ko	Ki	en
193	PSP	Ki	Call	Boy	hi
194	G_N	Boy	Ki	:	en
195	G_X	:	Boy	I	univ
196	G_PRP	I	:	LOVE	en
197	G_V	LOVE	I	U	en
198	G_PRP	U	LOVE	Jaan	en
199	G_N	Jaan	U	Girl-Sacchi	hi
200	G_N	Girl-Sacchi	Jaan	Boy-Mucchi	mixed
201	G_N	Boy-Mucchi	Girl-Sacchi	Girl	mixed
202	G_N	Girl	Boy-Mucchi	:	en
203	G_X	:	Girl	ek	univ
204	G_SYM	ek	:	100ka	hi
205	G_SYM	100ka	ek	Recharge	univ
206	G_V	Recharge	100ka	Krwa	en
207	G_V	Krwa	Recharge	Do	hi
208	G_V	Do	Krwa	Plz	hi
209	G_R	Plz	Do	Boy-Sorry	en
210	G_N	Boy-Sorry	Plz	Didi	en
211	G_N	Didi	Boy-Sorry	Rong	hi
212	G_J	Rong	Didi	Number	en
213	G_N	Number	Rong	0	en
214	G_X	0	Number		univ
215	G_N	Boy		:	en
216	G_X	:	Boy	Tum	univ
217	G_PRP	Tum	:	Ladki	hi
218	G_N	Ladki	Tum	Ho	hi
219	G_V	Ho	Ladki	Ke	hi
220	PSP	Ke	Ho	Sharab	hi
221	G_N	Sharab	Ke	Peeti	hi
222	G_V	Peeti	Sharab	Ho	hi
223	G_V	Ho	Peeti	??	hi
224	G_X	??	Ho	Awesome	univ
225	G_J	Awesome	??	reply	en
226	G_V	reply	Awesome	by	en
227	PSP	by	reply	Girl	en
228	G_N	Girl	by	:	en
229	G_X	:	Girl	To	univ
230	G_PRT	To	:	Kya	hi
231	G_PRP	Kya	To	2-4	hi
232	$	2-4	Kya	Peg	univ
233	G_N	Peg	2-4	Ke	hi
234	PSP	Ke	Peg	Liye	hi
235	PSP	Liye	Ke	Gender	hi
236	G_N	Gender	Liye	Change	en
237	G_V	Change	Gender	Karwaun	en
238	G_V	Karwaun	Change	???	hi
239	G_X	???	Karwaun		univ
240	$	1		Ladke	univ
241	G_N	Ladke	1	Ne	hi
242	PSP	Ne	Ladke	ek	hi
243	G_SYM	ek	Ne	Ladki	hi
