id	tag	word	label	prev_label	next_label
0	@	@bionicsix1	univ		univ
1	@	@phanerozoic11	univ	univ	univ
2	@	@pari_cious	univ	univ	hi
3	G_SYM	bohut	hi	univ	hi
4	G_J	achay	hi	hi	hi
5	G_V	ayay	hi	hi	univ
6	G_X	.	univ	hi	en
7	G_J	Mixed	en	univ	hi
8	G_N	dabay	hi	en	hi
9	G_PRT	Wala	hi	hi	en
10	G_N	mix	en	hi	en
11	CC	n	en	en	hi
12	G_N	maida	hi	en	univ
13	G_X	.	univ	hi	hi
14	G_PRP	Apna	hi	univ	hi
15	G_PRT	hee	hi	hi	hi
16	G_PRP	koi	hi	hi	en
17	G_J	taste	en	hi	hi
18	G_V	bana	hi	en	hi
19	G_V	liya	hi	hi	univ
20	E	:)	univ	hi	
21	G_V	listening	en		en
22	G_PRT	to	en	en	hi
23	G_N	Ishq	hi	en	hi
24	G_PRT	Wala	hi	hi	en
25	G_N	Love	en	hi	univ
26	G_X	(	univ	en	en
27	PSP	From	en	univ	univ
28	G_X	double_quotes	univ	en	en
29	G_N	Student	en	univ	en
30	PSP	of	en	en	en
31	DT	the	en	en	en
32	G_N	Year	en	en	univ
33	G_X	double_quotes	univ	en	univ
34	G_X	)	univ	univ	en
35	DT	The	en	univ	acro
36	G_N	DJ	acro	en	ne
37	G_N	Suketu	ne	acro	en
38	G_N	Lounge	en	ne	en
39	G_N	Mix	en	en	
40	G_PRP	I	en		en
41	G_V	liked	en	en	en
42	DT	a	en	en	univ
43	@	@YouTube	univ	en	en
44	G_N	video	en	univ	univ
45	U	http://t.co/Y9edo1yfRN	univ	en	en
46	G_N	Don	en	univ	univ
47	G_X	-	univ	en	hi
48	G_V	khaike	hi	univ	hi
49	G_N	paan	hi	hi	hi
50	G_J	banaras	hi	hi	hi
51	G_PRT	wala	hi	hi	en
52	G_J	old	en	hi	en
53	CC	and	en	en	en
54	G_J	new	en	en	en
55	G_N	mix	en	en	
56	G_N	IshQ	hi		hi
57	G_PRT	waLa	hi	hi	univ
58	G_X	||	univ	hi	univ
59	G_X	~	univ	univ	univ
60	G_N	^ŁøVě^	univ	univ	univ
61	G_X	~	univ	univ	univ
62	G_X	||	univ	univ	univ
63	G_X	—	univ	univ	en
64	G_V	listening	en	univ	en
65	G_PRT	to	en	en	hi
66	G_N	Ishq	hi	en	hi
67	G_PRT	Wala	hi	hi	en
68	G_N	Love	en	hi	univ
69	G_X	(	univ	en	en
70	PSP	From	en	univ	univ
71	G_X	double_quotes	univ	en	en
72	G_N	Student	en	univ	en
73	PSP	of	en	en	en
74	DT	the	en	en	en
75	G_N	Year	en	en	univ
76	G_X	double_quotes	univ	en	univ
77	G_X	)	univ	univ	en
78	DT	The	en	univ	acro
79	G_N	DJ	acro	en	ne
80	G_N	Suketu	ne	acro	en
81	G_N	Lounge	en	ne	en
82	G_N	Mix	en	en	
83	@	@Tina32kaur	univ		en
84	G_PRP	it	en	univ	en
85	G_V	is	en	en	en
86	G_R	indeed	en	en	univ
87	G_X	,	univ	en	en
88	G_R	when	en	univ	en
89	DT	its	en	en	en
90	G_J	possible	en	en	en
91	G_V	play	en	en	en
92	DT	a	en	en	en
93	G_J	lovely	en	en	hi
94	G_N	bacha	hi	en	hi
95	G_PRT	wala	hi	hi	en
96	G_N	track	en	hi	en
97	PSP	for	en	en	en
98	G_PRP	me	en	en	univ
99	E	:)	univ	en	en
100	G_N	Am	en	univ	en
101	G_V	having	en	en	en
102	G_J	serious	en	en	en
103	G_N	mix	en	en	en
104	G_N	emotions	en	en	en
105	G_PRP	these	en	en	en
106	G_N	days	en	en	univ
107	G_X	.	univ	en	
108	@	@SRKswarrior1	univ		hi
109	G_N	Bhai	hi	univ	hi
110	G_PRP	Koi	hi	hi	hi
111	G_N	pehchan	hi	hi	hi
112	G_PRT	wala	hi	hi	hi
113	G_PRP	Jo	hi	hi	univ
114	G_X	...	univ	hi	en
115	G_N	songs	en	univ	en
116	G_V	compile	en	en	hi
117	G_V	kr	hi	en	hi
118	G_V	le	hi	hi	hi
119	G_N	kl	hi	hi	en
120	G_N	sis	en	hi	hi
121	PSP	ka	hi	en	en
122	G_N	dance	en	hi	en
123	G_N	competition	en	en	hi
124	G_V	he	hi	en	univ
125	G_X	....	univ	hi	hi
126	G_SYM	teeno	hi	univ	en
