id	tag	word	label	prev_label
0	@	@bionicsix1	univ	
1	@	@phanerozoic11	univ	univ
2	@	@pari_cious	univ	univ
3	G_SYM	bohut	hi	univ
4	G_J	achay	hi	hi
5	G_V	ayay	hi	hi
6	G_X	.	univ	hi
7	G_J	Mixed	en	univ
8	G_N	dabay	hi	en
9	G_PRT	Wala	hi	hi
10	G_N	mix	en	hi
11	CC	n	en	en
12	G_N	maida	hi	en
13	G_X	.	univ	hi
14	G_PRP	Apna	hi	univ
15	G_PRT	hee	hi	hi
16	G_PRP	koi	hi	hi
17	G_J	taste	en	hi
18	G_V	bana	hi	en
19	G_V	liya	hi	hi
20	E	:)	univ	hi
21	G_V	listening	en	
22	G_PRT	to	en	en
23	G_N	Ishq	hi	en
24	G_PRT	Wala	hi	hi
25	G_N	Love	en	hi
26	G_X	(	univ	en
27	PSP	From	en	univ
28	G_X	double_quotes	univ	en
29	G_N	Student	en	univ
30	PSP	of	en	en
31	DT	the	en	en
32	G_N	Year	en	en
33	G_X	double_quotes	univ	en
34	G_X	)	univ	univ
35	DT	The	en	univ
36	G_N	DJ	acro	en
37	G_N	Suketu	ne	acro
38	G_N	Lounge	en	ne
39	G_N	Mix	en	en
40	G_PRP	I	en	
41	G_V	liked	en	en
42	DT	a	en	en
43	@	@YouTube	univ	en
44	G_N	video	en	univ
45	U	http://t.co/Y9edo1yfRN	univ	en
46	G_N	Don	en	univ
47	G_X	-	univ	en
48	G_V	khaike	hi	univ
49	G_N	paan	hi	hi
50	G_J	banaras	hi	hi
51	G_PRT	wala	hi	hi
52	G_J	old	en	hi
53	CC	and	en	en
54	G_J	new	en	en
55	G_N	mix	en	en
56	G_N	IshQ	hi	
57	G_PRT	waLa	hi	hi
58	G_X	||	univ	hi
59	G_X	~	univ	univ
60	G_N	^ŁøVě^	univ	univ
61	G_X	~	univ	univ
62	G_X	||	univ	univ
63	G_X	—	univ	univ
64	G_V	listening	en	univ
65	G_PRT	to	en	en
66	G_N	Ishq	hi	en
67	G_PRT	Wala	hi	hi
68	G_N	Love	en	hi
69	G_X	(	univ	en
70	PSP	From	en	univ
71	G_X	double_quotes	univ	en
72	G_N	Student	en	univ
73	PSP	of	en	en
74	DT	the	en	en
75	G_N	Year	en	en
76	G_X	double_quotes	univ	en
77	G_X	)	univ	univ
78	DT	The	en	univ
79	G_N	DJ	acro	en
80	G_N	Suketu	ne	acro
81	G_N	Lounge	en	ne
82	G_N	Mix	en	en
83	@	@Tina32kaur	univ	
84	G_PRP	it	en	univ
85	G_V	is	en	en
86	G_R	indeed	en	en
87	G_X	,	univ	en
88	G_R	when	en	univ
89	DT	its	en	en
90	G_J	possible	en	en
91	G_V	play	en	en
92	DT	a	en	en
93	G_J	lovely	en	en
94	G_N	bacha	hi	en
95	G_PRT	wala	hi	hi
96	G_N	track	en	hi
97	PSP	for	en	en
98	G_PRP	me	en	en
99	E	:)	univ	en
100	G_N	Am	en	univ
101	G_V	having	en	en
102	G_J	serious	en	en
103	G_N	mix	en	en
104	G_N	emotions	en	en
105	G_PRP	these	en	en
106	G_N	days	en	en
107	G_X	.	univ	en
108	@	@SRKswarrior1	univ	
109	G_N	Bhai	hi	univ
110	G_PRP	Koi	hi	hi
111	G_N	pehchan	hi	hi
112	G_PRT	wala	hi	hi
113	G_PRP	Jo	hi	hi
114	G_X	...	univ	hi
115	G_N	songs	en	univ
116	G_V	compile	en	en
117	G_V	kr	hi	en
118	G_V	le	hi	hi
119	G_N	kl	hi	hi
120	G_N	sis	en	hi
121	PSP	ka	hi	en
122	G_N	dance	en	hi
123	G_N	competition	en	en
124	G_V	he	hi	en
125	G_X	....	univ	hi
126	G_SYM	teeno	hi	univ
127	G_N	mix	en	hi
128	G_V	krne	hi	en
129	G_V	hein	hi	hi
130	PSP	without	en	hi
131	G_V	pause	en	en
132	G_PRP	Ye	hi	
133	G_N	Veet	ne	hi
134	PSP	ke	hi	ne
135	G_X	.	univ	hi
136	G_N	ad	en	univ
137	G_X	.	univ	en
138	PSP	main	hi	univ
139	G_PRP	wo	hi	hi
140	G_N	ladki	hi	hi
141	G_R	kitni	hi	hi
142	G_N	gandhi	hi	hi
143	CC	aur	hi	hi
144	PSP	over	en	hi
145	G_V	acting	en	en
146	G_V	karti	hi	en
147	G_V	hai	hi	hi
148	G_X	.	univ	hi
149	G_PRP	Ye	hi	univ
150	G_N	girl	en	hi
151	G_N	models	en	en
152	PSP	ko	hi	en
153	G_R	itni	hi	hi
154	G_J	Galatfahmi	hi	hi
155	G_PRP	kyon	hi	hi
156	G_V	hoti	hi	hi
157	G_V	hai	hi	hi
158	PSP	ki	hi	hi
159	G_PRP	wo	hi	hi
160	G_J	badi	hi	hi
161	G_N	actress	en	hi
162	G_V	hain	hi	en
163	G_N	Life	en	
164	G_N	Ok	en	en
165	G_J	Dream	en	en
166	G_N	Girl	en	en
167	G_SYM	Ek	hi	en
168	G_N	Ladki	hi	hi
169	G_J	Deewani	hi	hi
170	PSP	Si	hi	hi
171	G_J	Upcoming	en	hi
172	G_N	Tv	acro	en
173	G_N	show	en	acro
174	G_N	Story	en	en
175	G_X	|	univ	en
176	G_N	Star	en	univ
177	G_N	Cast	en	en
178	G_X	|	univ	en
179	G_N	Timing	en	univ
180	G_X	|	univ	en
181	G_N	Promo	en	univ
182	G_N	Wiki	ne	en
183	G_X	|	univ	ne
184	G_N	Ne	hi	univ
185	U	http://t.co/X9AhZRRPiD	univ	hi
186	$	1	univ	
187	G_N	Ladke	hi	univ
188	PSP	Ne	hi	hi
189	G_SYM	ek	hi	hi
190	G_N	Ladki	hi	hi
191	PSP	Ko	hi	hi
192	G_V	Call	en	hi
193	PSP	Ki	hi	en
194	G_N	Boy	en	hi
195	G_X	:	univ	en
196	G_PRP	I	en	univ
197	G_V	LOVE	en	en
198	G_PRP	U	en	en
199	G_N	Jaan	hi	en
200	G_N	Girl-Sacchi	mixed	hi
201	G_N	Boy-Mucchi	mixed	mixed
202	G_N	Girl	en	mixed
203	G_X	:	univ	en
204	G_SYM	ek	hi	univ
205	G_SYM	100ka	univ	hi
206	G_V	Recharge	en	univ
207	G_V	Krwa	hi	en
208	G_V	Do	hi	hi
209	G_R	Plz	en	hi
210	G_N	Boy-Sorry	en	en
211	G_N	Didi	hi	en
212	G_J	Rong	en	hi
213	G_N	Number	en	en
214	G_X	.	univ	en
215	G_N	Boy	en	
216	G_X	:	univ	en
217	G_PRP	Tum	hi	univ
218	G_N	Ladki	hi	hi
219	G_V	Ho	hi	hi
220	PSP	Ke	hi	hi
221	G_N	Sharab	hi	hi
222	G_V	Peeti	hi	hi
223	G_V	Ho	hi	hi
224	G_X	??	univ	hi
225	G_J	Awesome	en	univ
226	G_V	reply	en	en
227	PSP	by	en	en
228	G_N	Girl	en	en
229	G_X	:	univ	en
230	G_PRT	To	hi	univ
231	G_PRP	Kya	hi	hi
232	$	2-4	univ	hi
233	G_N	Peg	hi	univ
234	PSP	Ke	hi	hi
235	PSP	Liye	hi	hi
236	G_N	Gender	en	hi
237	G_V	Change	en	en
238	G_V	Karwaun	hi	en
239	G_X	???	univ	hi
240	$	1	univ	
241	G_N	Ladke	hi	univ
242	PSP	Ne	hi	hi
243	G_SYM	ek	hi	hi
244	G_N	Ladki	hi	hi
245	PSP	Ko	hi	hi
246	G_V	Call	en	hi
247	G_V	Ki	hi	en
248	G_X	.	univ	hi
249	G_N	Boy	en	univ
250	G_X	:	univ	en
251	G_PRP	I	en	univ
252	G_V	LOVE	en	en
253	G_PRP	U	en	en
254	G_N	Jaan	hi	en
255	G_X	.	univ	hi
256	G_N	Girl	en	univ
257	G_X	:	univ	en
258	G_N	Sacchi	hi	univ
259	G_X	.	univ	hi
260	G_N	Boy	en	univ
261	G_X	:	univ	en
262	G_N	Mucchi	hi	univ
263	G_X	.	univ	hi
264	G_N	Girl	en	univ
265	G_X	:	univ	en
266	G_SYM	ek	hi	univ
267	G_SYM	100ka	univ	hi
268	G_V	Recharge	en	univ
269	G_V	Krwa	hi	en
270	G_X	...	univ	hi
271	U	http://t.co/fBVr0axApf	univ	univ
272	G_J	Brilliant	en	
273	G_N	Answer	en	en
274	PSP	By	en	en
275	G_N	Boy	en	en
276	G_N	Friend	en	en
277	PSP	on	en	en
278	G_N	Break	en	en
279	PSP	Up	en	en
280	G_X	…	univ	en
281	G_X	.	univ	univ
282	G_N	Girl	en	univ
283	G_X	;	univ	en
284	G_PRP	Tumhe	hi	univ
285	G_PRP	Mere	hi	hi
286	G_R	Jaisi	hi	hi
287	G_N	Ladki	hi	hi
288	G_PRT	Nahi	hi	hi
289	G_V	Milegi	hi	hi
290	G_X	.	univ	hi
291	G_X	.	univ	univ
292	G_X	.	univ	univ
293	G_X	.	univ	univ
294	G_X	.	univ	univ
295	G_N	Boy	en	univ
296	G_X	;	univ	en
297	G_V	Chill	en	univ
298	G_X	...	univ	en
299	U	http://t.co/G6mF9fWFLQ	univ	univ
300	G_N	Boy	en	
301	G_X	:	univ	en
302	G_PRP	Tum	hi	univ
303	G_N	Ladki	hi	hi
304	G_PRT	Ho	hi	hi
305	PSP	Ke	hi	hi
306	G_N	Sharab	hi	hi
307	G_V	Peeti	hi	hi
308	G_V	Ho	hi	hi
309	G_X	??	univ	hi
310	G_J	Awesome	en	univ
311	G_V	reply	en	en
312	PSP	by	en	en
313	G_N	Girl	en	en
314	G_X	:	univ	en
315	G_PRT	To	hi	univ
316	G_PRP	Kya	hi	hi
317	$	2-4	univ	hi
318	G_N	Peg	hi	univ
319	PSP	Ke	hi	hi
320	PSP	Liye	hi	hi
321	G_N	Gender	en	hi
322	G_V	Change	en	en
323	G_V	Karwaun	hi	en
324	G_X	???	univ	hi
325	#	#IndvsSA	univ	univ
326	#	#MaukaMauka	univ	univ
327	G_N	Boy	en	
328	G_X	-	univ	en
329	G_N	badlapur	hi	univ
330	G_V	dekhne	hi	hi
331	G_V	chale	hi	hi
332	G_N	Girl	en	hi
333	G_X	-	univ	en
334	G_PRP	M	en	univ
335	G_V	watching	en	en
336	G_N	india	en	en
337	PSP	vs	en	en
338	G_N	sa	acro	en
339	G_N	Boy	en	acro
340	G_X	(	univ	en
341	G_V	calls	en	univ
342	G_PRP	his	en	en
343	G_N	mom	en	en
344	G_X	)	univ	en
345	G_X	-	univ	univ
346	G_N	Maa	hi	univ
347	G_X	,	univ	hi
348	G_PRP	maine	hi	univ
349	G_N	ladki	hi	hi
350	G_V	dhoond	hi	hi
351	PSP	lee	hi	hi
352	G_X	...	univ	hi
353	G_J	Brilliant	en	
354	G_N	Answer	en	en
355	PSP	By	en	en
356	G_N	Boy	en	en
357	G_N	Friend	en	en
358	PSP	on	en	en
359	G_N	Break	en	en
360	PSP	Up	en	en
361	G_X	…	univ	en
362	G_X	.	univ	univ
363	G_N	Girl	en	univ
364	G_X	;	univ	en
365	G_PRP	Tumhe	hi	univ
366	G_PRP	Mere	hi	hi
367	G_R	Jaisi	hi	hi
368	G_N	Ladki	hi	hi
369	G_PRT	Nahi	hi	hi
370	G_V	Milegi	hi	hi
371	G_X	.	univ	hi
372	G_X	.	univ	univ
373	G_X	.	univ	univ
374	G_X	.	univ	univ
375	G_X	.	univ	univ
376	G_N	Boy	en	univ
377	G_X	;	univ	en
378	G_V	Chill	en	univ
379	G_X	...	univ	en
380	U	http://t.co/tfdsDe3g50	univ	univ
381	$	1	univ	
382	G_N	Ladke	hi	univ
383	PSP	Ne	hi	hi
384	G_SYM	ek	hi	hi
385	G_N	Ladki	hi	hi
386	PSP	Ko	hi	hi
387	G_V	Call	en	hi
388	G_V	Ki	hi	en
389	G_N	Boy	en	hi
390	G_X	:	univ	en
391	G_PRP	I	en	univ
392	G_V	LOVE	en	en
393	G_PRP	U	en	en
394	G_N	Jaan	en	en
395	G_N	Girl	en	en
396	G_X	:	univ	en
397	G_N	Sacchi	hi	univ
398	G_N	Boy	en	hi
399	G_X	:	univ	en
400	G_N	Mucchi	hi	univ
401	G_N	Girl	en	hi
