 0 1 2
0 @bionicsix1 univ @
1 @phanerozoic11 univ @
2 @pari_cious univ @
3 bohut hi G_SYM
4 achay hi G_J
5 ayay hi G_V
6 . univ G_X
7 Mixed en G_J
8 dabay hi G_N
9 Wala hi G_PRT
10 mix en G_N
11 n en CC
12 maida hi G_N
13 . univ G_X
14 Apna hi G_PRP
15 hee hi G_PRT
16 koi hi G_PRP
17 taste en G_J
18 bana hi G_V
19 liya hi G_V
20 :) univ E
21 #### #### ####
22 listening en G_V
23 to en G_PRT
24 Ishq hi G_N
25 Wala hi G_PRT
26 Love en G_N
27 ( univ G_X
28 From en PSP
29 "	univ	G_X
Student	en	G_N
of	en	PSP
the	en	DT
Year	en	G_N
" univ G_X
30 ) univ G_X
31 The en DT
32 DJ acro G_N
33 Suketu ne G_N
34 Lounge en G_N
35 Mix en G_N
36 #### #### ####
37 I en G_PRP
38 liked en G_V
39 a en DT
40 @YouTube univ @
41 video en G_N
42 http://t.co/Y9edo1yfRN univ U
43 Don en G_N
44 - univ G_X
45 khaike hi G_V
46 paan hi G_N
47 banaras hi G_J
48 wala hi G_PRT
49 old en G_J
50 and en CC
51 new en G_J
52 mix en G_N
53 #### #### ####
54 IshQ hi G_N
55 waLa hi G_PRT
56 || univ G_X
57 ~ univ G_X
58 ^ŁøVě^ univ G_N
59 ~ univ G_X
60 || univ G_X
61 — univ G_X
62 listening en G_V
63 to en G_PRT
64 Ishq hi G_N
65 Wala hi G_PRT
66 Love en G_N
67 ( univ G_X
68 From en PSP
69 "	univ	G_X
Student	en	G_N
of	en	PSP
the	en	DT
Year	en	G_N
" univ G_X
70 ) univ G_X
71 The en DT
72 DJ acro G_N
73 Suketu ne G_N
74 Lounge en G_N
75 Mix en G_N
76 #### #### ####
77 @Tina32kaur univ @
78 it en G_PRP
79 is en G_V
80 indeed en G_R
81 , univ G_X
82 when en G_R
83 its en DT
84 possible en G_J
85 play en G_V
86 a en DT
87 lovely en G_J
88 bacha hi G_N
89 wala hi G_PRT
90 track en G_N
91 for en PSP
92 me en G_PRP
93 :) univ E
94 Am en G_N
95 having en G_V
96 serious en G_J
97 mix en G_N
98 emotions en G_N
99 these en G_PRP
100 days en G_N
101 . univ G_X
102 #### #### ####
103 @SRKswarrior1 univ @
104 Bhai hi G_N
105 Koi hi G_PRP
106 pehchan hi G_N
107 wala hi G_PRT
108 Jo hi G_PRP
109 ... univ G_X
110 songs en G_N
111 compile en G_V
112 kr hi G_V
113 le hi G_V
114 kl hi G_N
115 sis en G_N
116 ka hi PSP
117 dance en G_N
118 competition en G_N
119 he hi G_V
120 .... univ G_X
121 teeno hi G_SYM
122 mix en G_N
123 krne hi G_V
124 hein hi G_V
125 without en PSP
126 pause en G_V
127 #### #### ####
128 Ye hi G_PRP
129 Veet ne G_N
130 ke hi PSP
131 . univ G_X
132 ad en G_N
133 . univ G_X
134 main hi PSP
135 wo hi G_PRP
136 ladki hi G_N
