id	tag	word	label	prev_tag
0	@	@bionicsix1	univ	
1	@	@phanerozoic11	univ	@
2	@	@pari_cious	univ	@
3	G_SYM	bohut	hi	@
4	G_J	achay	hi	G_SYM
5	G_V	ayay	hi	G_J
6	G_X	.	univ	G_V
7	G_J	Mixed	en	G_X
8	G_N	dabay	hi	G_J
9	G_PRT	Wala	hi	G_N
10	G_N	mix	en	G_PRT
11	CC	n	en	G_N
12	G_N	maida	hi	CC
13	G_X	.	univ	G_N
14	G_PRP	Apna	hi	G_X
15	G_PRT	hee	hi	G_PRP
16	G_PRP	koi	hi	G_PRT
17	G_J	taste	en	G_PRP
18	G_V	bana	hi	G_J
19	G_V	liya	hi	G_V
20	E	:)	univ	G_V
21	G_V	listening	en	
22	G_PRT	to	en	G_V
23	G_N	Ishq	hi	G_PRT
24	G_PRT	Wala	hi	G_N
25	G_N	Love	en	G_PRT
26	G_X	(	univ	G_N
27	PSP	From	en	G_X
28	G_X	double_quotes	univ	PSP
29	G_N	Student	en	G_X
30	PSP	of	en	G_N
31	DT	the	en	PSP
32	G_N	Year	en	DT
33	G_X	double_quotes	univ	G_N
34	G_X	)	univ	G_X
35	DT	The	en	G_X
36	G_N	DJ	acro	DT
37	G_N	Suketu	ne	G_N
38	G_N	Lounge	en	G_N
39	G_N	Mix	en	G_N
40	G_PRP	I	en	
41	G_V	liked	en	G_PRP
42	DT	a	en	G_V
43	@	@YouTube	univ	DT
44	G_N	video	en	@
45	U	http://t.co/Y9edo1yfRN	univ	G_N
46	G_N	Don	en	U
47	G_X	-	univ	G_N
48	G_V	khaike	hi	G_X
49	G_N	paan	hi	G_V
50	G_J	banaras	hi	G_N
51	G_PRT	wala	hi	G_J
52	G_J	old	en	G_PRT
53	CC	and	en	G_J
54	G_J	new	en	CC
55	G_N	mix	en	G_J
56	G_N	IshQ	hi	
57	G_PRT	waLa	hi	G_N
58	G_X	||	univ	G_PRT
59	G_X	~	univ	G_X
60	G_N	^ŁøVě^	univ	G_X
61	G_X	~	univ	G_N
62	G_X	||	univ	G_X
63	G_X	—	univ	G_X
64	G_V	listening	en	G_X
65	G_PRT	to	en	G_V
66	G_N	Ishq	hi	G_PRT
67	G_PRT	Wala	hi	G_N
68	G_N	Love	en	G_PRT
69	G_X	(	univ	G_N
70	PSP	From	en	G_X
71	G_X	double_quotes	univ	PSP
72	G_N	Student	en	G_X
73	PSP	of	en	G_N
74	DT	the	en	PSP
75	G_N	Year	en	DT
76	G_X	double_quotes	univ	G_N
77	G_X	)	univ	G_X
78	DT	The	en	G_X
79	G_N	DJ	acro	DT
80	G_N	Suketu	ne	G_N
81	G_N	Lounge	en	G_N
82	G_N	Mix	en	G_N
83	@	@Tina32kaur	univ	
84	G_PRP	it	en	@
85	G_V	is	en	G_PRP
86	G_R	indeed	en	G_V
87	G_X	,	univ	G_R
88	G_R	when	en	G_X
89	DT	its	en	G_R
90	G_J	possible	en	DT
