word	prev_word	next_word	label	prev_label	next_label	prev_tag	tag
@bionicsix1	####	@phanerozoic11	univ	####	univ	####	@
@phanerozoic11	@bionicsix1	@pari_cious	univ	univ	univ	@	@
@pari_cious	@phanerozoic11	bohut	univ	univ	hi	@	@
bohut	@pari_cious	achay	hi	univ	hi	@	G_SYM
achay	bohut	ayay	hi	hi	hi	G_SYM	G_J
ayay	achay	0	hi	hi	univ	G_J	G_V
0	ayay	Mixed	univ	hi	en	G_V	G_X
Mixed	0	dabay	en	univ	hi	G_X	G_J
dabay	Mixed	Wala	hi	en	hi	G_J	G_N
Wala	dabay	mix	hi	hi	en	G_N	G_PRT
mix	Wala	n	en	hi	en	G_PRT	G_N
n	mix	maida	en	en	hi	G_N	CC
maida	n	0	hi	en	univ	CC	G_N
0	maida	Apna	univ	hi	hi	G_N	G_X
Apna	0	hee	hi	univ	hi	G_X	G_PRP
hee	Apna	koi	hi	hi	hi	G_PRP	G_PRT
koi	hee	taste	hi	hi	en	G_PRT	G_PRP
taste	koi	bana	en	hi	hi	G_PRP	G_J
bana	taste	liya	hi	en	hi	G_J	G_V
liya	bana	:)	hi	hi	univ	G_V	G_V
:)	liya	####	univ	hi	####	G_V	E
####	:)	listening	####	univ	en	E	####
listening	####	to	en	####	en	####	G_V
to	listening	Ishq	en	en	hi	G_V	G_PRT
Ishq	to	Wala	hi	en	hi	G_PRT	G_N
Wala	Ishq	Love	hi	hi	en	G_N	G_PRT
Love	Wala	(	en	hi	univ	G_PRT	G_N
(	Love	From	univ	en	en	G_N	G_X
From	(	double_quotes	en	univ	univ	G_X	PSP
double_quotes	From	Student	univ	en	en	PSP	G_X
Student	double_quotes	of	en	univ	en	G_X	G_N
of	Student	the	en	en	en	G_N	PSP
the	of	Year	en	en	en	PSP	DT
Year	the	double_quotes	en	en	univ	DT	G_N
double_quotes	Year	)	univ	en	univ	G_N	G_X
)	double_quotes	The	univ	univ	en	G_X	G_X
The	)	DJ	en	univ	acro	G_X	DT
DJ	The	Suketu	acro	en	ne	DT	G_N
Suketu	DJ	Lounge	ne	acro	en	G_N	G_N
Lounge	Suketu	Mix	en	ne	en	G_N	G_N
Mix	Lounge	####	en	en	####	G_N	G_N
####	Mix	I	####	en	en	G_N	####
I	####	liked	en	####	en	####	G_PRP
liked	I	a	en	en	en	G_PRP	G_V
a	liked	@YouTube	en	en	univ	G_V	DT
@YouTube	a	video	univ	en	en	DT	@
video	@YouTube	http://t.co/Y9edo1yfRN	en	univ	univ	@	G_N
http://t.co/Y9edo1yfRN	video	Don	univ	en	en	G_N	U
Don	http://t.co/Y9edo1yfRN	-	en	univ	univ	U	G_N
-	Don	khaike	univ	en	hi	G_N	G_X
khaike	-	paan	hi	univ	hi	G_X	G_V
paan	khaike	banaras	hi	hi	hi	G_V	G_N
banaras	paan	wala	hi	hi	hi	G_N	G_J
wala	banaras	old	hi	hi	en	G_J	G_PRT
old	wala	and	en	hi	en	G_PRT	G_J
and	old	new	en	en	en	G_J	CC
new	and	mix	en	en	en	CC	G_J
mix	new	####	en	en	####	G_J	G_N
####	mix	IshQ	####	en	hi	G_N	####
IshQ	####	waLa	hi	####	hi	####	G_N
waLa	IshQ	||	hi	hi	univ	G_N	G_PRT
||	waLa	~	univ	hi	univ	G_PRT	G_X
~	||	^ŁøVě^	univ	univ	univ	G_X	G_X
^ŁøVě^	~	~	univ	univ	univ	G_X	G_N
~	^ŁøVě^	||	univ	univ	univ	G_N	G_X
||	~	—	univ	univ	univ	G_X	G_X
—	||	listening	univ	univ	en	G_X	G_X
listening	—	to	en	univ	en	G_X	G_V
to	listening	Ishq	en	en	hi	G_V	G_PRT
Ishq	to	Wala	hi	en	hi	G_PRT	G_N
Wala	Ishq	Love	hi	hi	en	G_N	G_PRT
Love	Wala	(	en	hi	univ	G_PRT	G_N
(	Love	From	univ	en	en	G_N	G_X
From	(	double_quotes	en	univ	univ	G_X	PSP
double_quotes	From	Student	univ	en	en	PSP	G_X
Student	double_quotes	of	en	univ	en	G_X	G_N
of	Student	the	en	en	en	G_N	PSP
the	of	Year	en	en	en	PSP	DT
Year	the	double_quotes	en	en	univ	DT	G_N
double_quotes	Year	)	univ	en	univ	G_N	G_X
)	double_quotes	The	univ	univ	en	G_X	G_X
The	)	DJ	en	univ	acro	G_X	DT
DJ	The	Suketu	acro	en	ne	DT	G_N
Suketu	DJ	Lounge	ne	acro	en	G_N	G_N
Lounge	Suketu	Mix	en	ne	en	G_N	G_N
Mix	Lounge	####	en	en	####	G_N	G_N
####	Mix	@Tina32kaur	####	en	univ	G_N	####
@Tina32kaur	####	it	univ	####	en	####	@
it	@Tina32kaur	is	en	univ	en	@	G_PRP
is	it	indeed	en	en	en	G_PRP	G_V
indeed	is	,	en	en	univ	G_V	G_R
,	indeed	when	univ	en	en	G_R	G_X
when	,	its	en	univ	en	G_X	G_R
its	when	possible	en	en	en	G_R	DT
possible	its	play	en	en	en	DT	G_J
play	possible	a	en	en	en	G_J	G_V
a	play	lovely	en	en	en	G_V	DT
lovely	a	bacha	en	en	hi	DT	G_J
bacha	lovely	wala	hi	en	hi	G_J	G_N
wala	bacha	track	hi	hi	en	G_N	G_PRT
track	wala	for	en	hi	en	G_PRT	G_N
for	track	me	en	en	en	G_N	PSP
me	for	:)	en	en	univ	PSP	G_PRP
:)	me	Am	univ	en	en	G_PRP	E
Am	:)	having	en	univ	en	E	G_N
having	Am	serious	en	en	en	G_N	G_V
serious	having	mix	en	en	en	G_V	G_J
mix	serious	emotions	en	en	en	G_J	G_N
emotions	mix	these	en	en	en	G_N	G_N
these	emotions	days	en	en	en	G_N	G_PRP
days	these	0	en	en	univ	G_PRP	G_N
0	days	####	univ	en	####	G_N	G_X
####	0	@SRKswarrior1	####	univ	univ	G_X	####
@SRKswarrior1	####	Bhai	univ	####	hi	####	@
Bhai	@SRKswarrior1	Koi	hi	univ	hi	@	G_N
Koi	Bhai	pehchan	hi	hi	hi	G_N	G_PRP
pehchan	Koi	wala	hi	hi	hi	G_PRP	G_N
wala	pehchan	Jo	hi	hi	hi	G_N	G_PRT
Jo	wala	...	hi	hi	univ	G_PRT	G_PRP
...	Jo	songs	univ	hi	en	G_PRP	G_X
songs	...	compile	en	univ	en	G_X	G_N
compile	songs	kr	en	en	hi	G_N	G_V
kr	compile	le	hi	en	hi	G_V	G_V
le	kr	kl	hi	hi	hi	G_V	G_V
kl	le	sis	hi	hi	en	G_V	G_N
sis	kl	ka	en	hi	hi	G_N	G_N
ka	sis	dance	hi	en	en	G_N	PSP
dance	ka	competition	en	hi	en	PSP	G_N
competition	dance	he	en	en	hi	G_N	G_N
he	competition	....	hi	en	univ	G_N	G_V
....	he	teeno	univ	hi	hi	G_V	G_X
teeno	....	mix	hi	univ	en	G_X	G_SYM
mix	teeno	krne	en	hi	hi	G_SYM	G_N
krne	mix	hein	hi	en	hi	G_N	G_V
hein	krne	without	hi	hi	en	G_V	G_V
without	hein	pause	en	hi	en	G_V	PSP
pause	without	####	en	en	####	PSP	G_V
####	pause	Ye	####	en	hi	G_V	####
Ye	####	Veet	hi	####	ne	####	G_PRP
Veet	Ye	ke	ne	hi	hi	G_PRP	G_N
ke	Veet	0	hi	ne	univ	G_N	PSP
0	ke	ad	univ	hi	en	PSP	G_X
ad	0	0	en	univ	univ	G_X	G_N
0	ad	main	univ	en	hi	G_N	G_X
main	0	wo	hi	univ	hi	G_X	PSP
wo	main	ladki	hi	hi	hi	PSP	G_PRP
ladki	wo	kitni	hi	hi	hi	G_PRP	G_N
kitni	ladki	gandhi	hi	hi	hi	G_N	G_R
gandhi	kitni	aur	hi	hi	hi	G_R	G_N
aur	gandhi	over	hi	hi	en	G_N	CC
over	aur	acting	en	hi	en	CC	PSP
acting	over	karti	en	en	hi	PSP	G_V
karti	acting	hai	hi	en	hi	G_V	G_V
hai	karti	0	hi	hi	univ	G_V	G_V
0	hai	Ye	univ	hi	hi	G_V	G_X
Ye	0	girl	hi	univ	en	G_X	G_PRP
girl	Ye	models	en	hi	en	G_PRP	G_N
models	girl	ko	en	en	hi	G_N	G_N
ko	models	itni	hi	en	hi	G_N	PSP
itni	ko	Galatfahmi	hi	hi	hi	PSP	G_R
Galatfahmi	itni	kyon	hi	hi	hi	G_R	G_J
kyon	Galatfahmi	hoti	hi	hi	hi	G_J	G_PRP
hoti	kyon	hai	hi	hi	hi	G_PRP	G_V
hai	hoti	ki	hi	hi	hi	G_V	G_V
ki	hai	wo	hi	hi	hi	G_V	PSP
wo	ki	badi	hi	hi	hi	PSP	G_PRP
badi	wo	actress	hi	hi	en	G_PRP	G_J
actress	badi	hain	en	hi	hi	G_J	G_N
hain	actress	####	hi	en	####	G_N	G_V
####	hain	Life	####	hi	en	G_V	####
Life	####	Ok	en	####	en	####	G_N
Ok	Life	Dream	en	en	en	G_N	G_N
Dream	Ok	Girl	en	en	en	G_N	G_J
Girl	Dream	Ek	en	en	hi	G_J	G_N
Ek	Girl	Ladki	hi	en	hi	G_N	G_SYM
Ladki	Ek	Deewani	hi	hi	hi	G_SYM	G_N
Deewani	Ladki	Si	hi	hi	hi	G_N	G_J
Si	Deewani	Upcoming	hi	hi	en	G_J	PSP
Upcoming	Si	Tv	en	hi	acro	PSP	G_J
Tv	Upcoming	show	acro	en	en	G_J	G_N
show	Tv	Story	en	acro	en	G_N	G_N
Story	show	|	en	en	univ	G_N	G_N
|	Story	Star	univ	en	en	G_N	G_X
Star	|	Cast	en	univ	en	G_X	G_N
Cast	Star	|	en	en	univ	G_N	G_N
|	Cast	Timing	univ	en	en	G_N	G_X
Timing	|	|	en	univ	univ	G_X	G_N
|	Timing	Promo	univ	en	en	G_N	G_X
Promo	|	Wiki	en	univ	ne	G_X	G_N
Wiki	Promo	|	ne	en	univ	G_N	G_N
|	Wiki	Ne	univ	ne	hi	G_N	G_X
Ne	|	http://t.co/X9AhZRRPiD	hi	univ	univ	G_X	G_N
http://t.co/X9AhZRRPiD	Ne	####	univ	hi	####	G_N	U
####	http://t.co/X9AhZRRPiD	1	####	univ	univ	U	####
1	####	Ladke	univ	####	hi	####	$
Ladke	1	Ne	hi	univ	hi	$	G_N
Ne	Ladke	ek	hi	hi	hi	G_N	PSP
ek	Ne	Ladki	hi	hi	hi	PSP	G_SYM
Ladki	ek	Ko	hi	hi	hi	G_SYM	G_N
Ko	Ladki	Call	hi	hi	en	G_N	PSP
Call	Ko	Ki	en	hi	hi	PSP	G_V
Ki	Call	Boy	hi	en	en	G_V	PSP
Boy	Ki	:	en	hi	univ	PSP	G_N
:	Boy	I	univ	en	en	G_N	G_X
I	:	LOVE	en	univ	en	G_X	G_PRP
LOVE	I	U	en	en	en	G_PRP	G_V
U	LOVE	Jaan	en	en	hi	G_V	G_PRP
Jaan	U	Girl-Sacchi	hi	en	mixed	G_PRP	G_N
Girl-Sacchi	Jaan	Boy-Mucchi	mixed	hi	mixed	G_N	G_N
Boy-Mucchi	Girl-Sacchi	Girl	mixed	mixed	en	G_N	G_N
Girl	Boy-Mucchi	:	en	mixed	univ	G_N	G_N
:	Girl	ek	univ	en	hi	G_N	G_X
ek	:	100ka	hi	univ	univ	G_X	G_SYM
100ka	ek	Recharge	univ	hi	en	G_SYM	G_SYM
Recharge	100ka	Krwa	en	univ	hi	G_SYM	G_V
Krwa	Recharge	Do	hi	en	hi	G_V	G_V
Do	Krwa	Plz	hi	hi	en	G_V	G_V
Plz	Do	Boy-Sorry	en	hi	en	G_V	G_R
Boy-Sorry	Plz	Didi	en	en	hi	G_R	G_N
Didi	Boy-Sorry	Rong	hi	en	en	G_N	G_N
Rong	Didi	Number	en	hi	en	G_N	G_J
Number	Rong	0	en	en	univ	G_J	G_N
0	Number	####	univ	en	####	G_N	G_X
####	0	Boy	####	univ	en	G_X	####
Boy	####	:	en	####	univ	####	G_N
:	Boy	Tum	univ	en	hi	G_N	G_X
Tum	:	Ladki	hi	univ	hi	G_X	G_PRP
Ladki	Tum	Ho	hi	hi	hi	G_PRP	G_N
Ho	Ladki	Ke	hi	hi	hi	G_N	G_V
Ke	Ho	Sharab	hi	hi	hi	G_V	PSP
Sharab	Ke	Peeti	hi	hi	hi	PSP	G_N
Peeti	Sharab	Ho	hi	hi	hi	G_N	G_V
Ho	Peeti	??	hi	hi	univ	G_V	G_V
??	Ho	Awesome	univ	hi	en	G_V	G_X
Awesome	??	reply	en	univ	en	G_X	G_J
reply	Awesome	by	en	en	en	G_J	G_V
by	reply	Girl	en	en	en	G_V	PSP
Girl	by	:	en	en	univ	PSP	G_N
:	Girl	To	univ	en	hi	G_N	G_X
To	:	Kya	hi	univ	hi	G_X	G_PRT
Kya	To	2-4	hi	hi	univ	G_PRT	G_PRP
2-4	Kya	Peg	univ	hi	hi	G_PRP	$
Peg	2-4	Ke	hi	univ	hi	$	G_N
Ke	Peg	Liye	hi	hi	hi	G_N	PSP
Liye	Ke	Gender	hi	hi	en	PSP	PSP
Gender	Liye	Change	en	hi	en	PSP	G_N
Change	Gender	Karwaun	en	en	hi	G_N	G_V
Karwaun	Change	???	hi	en	univ	G_V	G_V
???	Karwaun	####	univ	hi	####	G_V	G_X
####	???	1	####	univ	univ	G_X	####
1	####	Ladke	univ	####	hi	####	$
Ladke	1	Ne	hi	univ	hi	$	G_N
Ne	Ladke	ek	hi	hi	hi	G_N	PSP
ek	Ne	Ladki	hi	hi	hi	PSP	G_SYM
Ladki	ek	Ko	hi	hi	hi	G_SYM	G_N
Ko	Ladki	Call	hi	hi	en	G_N	PSP
Call	Ko	Ki	en	hi	hi	PSP	G_V
Ki	Call	0	hi	en	univ	G_V	G_V
0	Ki	Boy	univ	hi	en	G_V	G_X
Boy	0	:	en	univ	univ	G_X	G_N
:	Boy	I	univ	en	en	G_N	G_X
I	:	LOVE	en	univ	en	G_X	G_PRP
LOVE	I	U	en	en	en	G_PRP	G_V
U	LOVE	Jaan	en	en	hi	G_V	G_PRP
