id	tag	word	prev_word	next_word	label	prev_label	next_label	prev_tag	start_w_s	start_w_n
0	@	@bionicsix1		@phanerozoic11	univ		univ		1	0
1	@	@phanerozoic11	@bionicsix1	@pari_cious	univ	univ	univ	@	1	0
2	@	@pari_cious	@phanerozoic11	bohut	univ	univ	hi	@	1	0
3	G_SYM	bohut	@pari_cious	achay	hi	univ	hi	@	0	0
4	G_J	achay	bohut	ayay	hi	hi	hi	G_SYM	0	0
5	G_V	ayay	achay	.	hi	hi	univ	G_J	0	0
6	G_X	.	ayay	Mixed	univ	hi	en	G_V	0	0
7	G_J	Mixed	.	dabay	en	univ	hi	G_X	0	0
8	G_N	dabay	Mixed	Wala	hi	en	hi	G_J	0	0
9	G_PRT	Wala	dabay	mix	hi	hi	en	G_N	0	0
10	G_N	mix	Wala	n	en	hi	en	G_PRT	0	0
11	CC	n	mix	maida	en	en	hi	G_N	0	0
12	G_N	maida	n	.	hi	en	univ	CC	0	0
13	G_X	.	maida	Apna	univ	hi	hi	G_N	0	0
14	G_PRP	Apna	.	hee	hi	univ	hi	G_X	0	0
15	G_PRT	hee	Apna	koi	hi	hi	hi	G_PRP	0	0
16	G_PRP	koi	hee	taste	hi	hi	en	G_PRT	0	0
17	G_J	taste	koi	bana	en	hi	hi	G_PRP	0	0
18	G_V	bana	taste	liya	hi	en	hi	G_J	0	0
19	G_V	liya	bana	:)	hi	hi	univ	G_V	0	0
20	E	:)	liya		univ	hi		G_V	0	0
21	G_V	listening		to	en		en		0	0
22	G_PRT	to	listening	Ishq	en	en	hi	G_V	0	0
23	G_N	Ishq	to	Wala	hi	en	hi	G_PRT	0	0
24	G_PRT	Wala	Ishq	Love	hi	hi	en	G_N	0	0
25	G_N	Love	Wala	(	en	hi	univ	G_PRT	0	0
26	G_X	(	Love	From	univ	en	en	G_N	0	0
27	PSP	From	(	double_quotes	en	univ	univ	G_X	0	0
28	G_X	double_quotes	From	Student	univ	en	en	PSP	0	0
29	G_N	Student	double_quotes	of	en	univ	en	G_X	0	0
30	PSP	of	Student	the	en	en	en	G_N	0	0
31	DT	the	of	Year	en	en	en	PSP	0	0
32	G_N	Year	the	double_quotes	en	en	univ	DT	0	0
33	G_X	double_quotes	Year	)	univ	en	univ	G_N	0	0
34	G_X	)	double_quotes	The	univ	univ	en	G_X	0	0
35	DT	The	)	DJ	en	univ	acro	G_X	0	0
36	G_N	DJ	The	Suketu	acro	en	ne	DT	0	0
37	G_N	Suketu	DJ	Lounge	ne	acro	en	G_N	0	0
38	G_N	Lounge	Suketu	Mix	en	ne	en	G_N	0	0
39	G_N	Mix	Lounge		en	en		G_N	0	0
40	G_PRP	I		liked	en		en		0	0
41	G_V	liked	I	a	en	en	en	G_PRP	0	0
42	DT	a	liked	@YouTube	en	en	univ	G_V	0	0
43	@	@YouTube	a	video	univ	en	en	DT	1	0
44	G_N	video	@YouTube	http://t.co/Y9edo1yfRN	en	univ	univ	@	0	0
45	U	http://t.co/Y9edo1yfRN	video	Don	univ	en	en	G_N	0	0
46	G_N	Don	http://t.co/Y9edo1yfRN	-	en	univ	univ	U	0	0
47	G_X	-	Don	khaike	univ	en	hi	G_N	0	0
48	G_V	khaike	-	paan	hi	univ	hi	G_X	0	0
49	G_N	paan	khaike	banaras	hi	hi	hi	G_V	0	0
50	G_J	banaras	paan	wala	hi	hi	hi	G_N	0	0
51	G_PRT	wala	banaras	old	hi	hi	en	G_J	0	0
