id	tag	word	label	prev_label	next_label	prev_tag	start_w_s	start_w_n
0	@	@bionicsix1	univ		univ		1	0
1	@	@phanerozoic11	univ	univ	univ	@	1	0
2	@	@pari_cious	univ	univ	hi	@	1	0
3	G_SYM	bohut	hi	univ	hi	@	0	0
4	G_J	achay	hi	hi	hi	G_SYM	0	0
5	G_V	ayay	hi	hi	univ	G_J	0	0
6	G_X	.	univ	hi	en	G_V	0	0
7	G_J	Mixed	en	univ	hi	G_X	0	0
8	G_N	dabay	hi	en	hi	G_J	0	0
9	G_PRT	Wala	hi	hi	en	G_N	0	0
10	G_N	mix	en	hi	en	G_PRT	0	0
11	CC	n	en	en	hi	G_N	0	0
12	G_N	maida	hi	en	univ	CC	0	0
13	G_X	.	univ	hi	hi	G_N	0	0
14	G_PRP	Apna	hi	univ	hi	G_X	0	0
15	G_PRT	hee	hi	hi	hi	G_PRP	0	0
16	G_PRP	koi	hi	hi	en	G_PRT	0	0
17	G_J	taste	en	hi	hi	G_PRP	0	0
18	G_V	bana	hi	en	hi	G_J	0	0
19	G_V	liya	hi	hi	univ	G_V	0	0
20	E	:)	univ	hi		G_V	0	0
21	G_V	listening	en		en		0	0
22	G_PRT	to	en	en	hi	G_V	0	0
23	G_N	Ishq	hi	en	hi	G_PRT	0	0
24	G_PRT	Wala	hi	hi	en	G_N	0	0
25	G_N	Love	en	hi	univ	G_PRT	0	0
26	G_X	(	univ	en	en	G_N	0	0
27	PSP	From	en	univ	univ	G_X	0	0
28	G_X	double_quotes	univ	en	en	PSP	0	0
29	G_N	Student	en	univ	en	G_X	0	0
30	PSP	of	en	en	en	G_N	0	0
31	DT	the	en	en	en	PSP	0	0
32	G_N	Year	en	en	univ	DT	0	0
33	G_X	double_quotes	univ	en	univ	G_N	0	0
34	G_X	)	univ	univ	en	G_X	0	0
35	DT	The	en	univ	acro	G_X	0	0
36	G_N	DJ	acro	en	ne	DT	0	0
37	G_N	Suketu	ne	acro	en	G_N	0	0
38	G_N	Lounge	en	ne	en	G_N	0	0
39	G_N	Mix	en	en		G_N	0	0
40	G_PRP	I	en		en		0	0
41	G_V	liked	en	en	en	G_PRP	0	0
42	DT	a	en	en	univ	G_V	0	0
43	@	@YouTube	univ	en	en	DT	1	0
44	G_N	video	en	univ	univ	@	0	0
45	U	http://t.co/Y9edo1yfRN	univ	en	en	G_N	0	0
