index	tag	word	label
0	@	@bionicsix1	univ
1	@	@phanerozoic11	univ
2	@	@pari_cious	univ
3	G_SYM	bohut	hi
4	G_J	achay	hi
5	G_V	ayay	hi
6	G_X	.	univ
7	G_J	Mixed	en
8	G_N	dabay	hi
9	G_PRT	Wala	hi
10	G_N	mix	en
11	CC	n	en
12	G_N	maida	hi
13	G_X	.	univ
14	G_PRP	Apna	hi
15	G_PRT	hee	hi
16	G_PRP	koi	hi
17	G_J	taste	en
18	G_V	bana	hi
19	G_V	liya	hi
20	E	:)	univ
21	G_V	listening	en
22	G_PRT	to	en
23	G_N	Ishq	hi
24	G_PRT	Wala	hi
25	G_N	Love	en
26	G_X	(	univ
27	PSP	From	en
28	G_X	double_quotes	univ
29	G_N	Student	en
30	PSP	of	en
31	DT	the	en
32	G_N	Year	en
33	G_X	double_quotes	univ
34	G_X	)	univ
35	DT	The	en
36	G_N	DJ	acro
37	G_N	Suketu	ne
38	G_N	Lounge	en
39	G_N	Mix	en
40	G_PRP	I	en
41	G_V	liked	en
42	DT	a	en
43	@	@YouTube	univ
44	G_N	video	en
45	U	http://t.co/Y9edo1yfRN	univ
46	G_N	Don	en
47	G_X	-	univ
48	G_V	khaike	hi
49	G_N	paan	hi
50	G_J	banaras	hi
51	G_PRT	wala	hi
52	G_J	old	en
53	CC	and	en
54	G_J	new	en
55	G_N	mix	en
56	G_N	IshQ	hi
57	G_PRT	waLa	hi
58	G_X	||	univ
59	G_X	~	univ
60	G_N	^ŁøVě^	univ
61	G_X	~	univ
62	G_X	||	univ
63	G_X	—	univ
64	G_V	listening	en
65	G_PRT	to	en
66	G_N	Ishq	hi
67	G_PRT	Wala	hi
68	G_N	Love	en
69	G_X	(	univ
70	PSP	From	en
71	G_X	double_quotes	univ
72	G_N	Student	en
73	PSP	of	en
74	DT	the	en
75	G_N	Year	en
76	G_X	double_quotes	univ
77	G_X	)	univ
78	DT	The	en
79	G_N	DJ	acro
80	G_N	Suketu	ne
81	G_N	Lounge	en
82	G_N	Mix	en
83	@	@Tina32kaur	univ
84	G_PRP	it	en
85	G_V	is	en
86	G_R	indeed	en
87	G_X	,	univ
88	G_R	when	en
89	DT	its	en
90	G_J	possible	en
91	G_V	play	en
92	DT	a	en
93	G_J	lovely	en
94	G_N	bacha	hi
95	G_PRT	wala	hi
96	G_N	track	en
97	PSP	for	en
98	G_PRP	me	en
99	E	:)	univ
100	G_N	Am	en
101	G_V	having	en
102	G_J	serious	en
103	G_N	mix	en
104	G_N	emotions	en
105	G_PRP	these	en
106	G_N	days	en
107	G_X	.	univ
108	@	@SRKswarrior1	univ
109	G_N	Bhai	hi
110	G_PRP	Koi	hi
111	G_N	pehchan	hi
112	G_PRT	wala	hi
113	G_PRP	Jo	hi
114	G_X	...	univ
115	G_N	songs	en
116	G_V	compile	en
117	G_V	kr	hi
118	G_V	le	hi
119	G_N	kl	hi
120	G_N	sis	en
121	PSP	ka	hi
