id	tag	word	prev_word	label
0	@	@bionicsix1		univ
1	@	@phanerozoic11	@bionicsix1	univ
2	@	@pari_cious	@phanerozoic11	univ
3	G_SYM	bohut	@pari_cious	hi
4	G_J	achay	bohut	hi
5	G_V	ayay	achay	hi
6	G_X	.	ayay	univ
7	G_J	Mixed	.	en
8	G_N	dabay	Mixed	hi
9	G_PRT	Wala	dabay	hi
10	G_N	mix	Wala	en
11	CC	n	mix	en
12	G_N	maida	n	hi
13	G_X	.	maida	univ
14	G_PRP	Apna	.	hi
15	G_PRT	hee	Apna	hi
16	G_PRP	koi	hee	hi
17	G_J	taste	koi	en
18	G_V	bana	taste	hi
19	G_V	liya	bana	hi
20	E	:)	liya	univ
21	G_V	listening		en
22	G_PRT	to	listening	en
23	G_N	Ishq	to	hi
24	G_PRT	Wala	Ishq	hi
25	G_N	Love	Wala	en
26	G_X	(	Love	univ
27	PSP	From	(	en
28	G_X	double_quotes	From	univ
29	G_N	Student	double_quotes	en
30	PSP	of	Student	en
31	DT	the	of	en
32	G_N	Year	the	en
33	G_X	double_quotes	Year	univ
34	G_X	)	double_quotes	univ
35	DT	The	)	en
36	G_N	DJ	The	acro
37	G_N	Suketu	DJ	ne
38	G_N	Lounge	Suketu	en
39	G_N	Mix	Lounge	en
40	G_PRP	I		en
41	G_V	liked	I	en
42	DT	a	liked	en
43	@	@YouTube	a	univ
44	G_N	video	@YouTube	en
45	U	http://t.co/Y9edo1yfRN	video	univ
46	G_N	Don	http://t.co/Y9edo1yfRN	en
47	G_X	-	Don	univ
48	G_V	khaike	-	hi
49	G_N	paan	khaike	hi
50	G_J	banaras	paan	hi
51	G_PRT	wala	banaras	hi
52	G_J	old	wala	en
53	CC	and	old	en
54	G_J	new	and	en
55	G_N	mix	new	en
56	G_N	IshQ		hi
57	G_PRT	waLa	IshQ	hi
58	G_X	||	waLa	univ
59	G_X	~	||	univ
60	G_N	^ŁøVě^	~	univ
61	G_X	~	^ŁøVě^	univ
62	G_X	||	~	univ
63	G_X	—	||	univ
64	G_V	listening	—	en
65	G_PRT	to	listening	en
66	G_N	Ishq	to	hi
67	G_PRT	Wala	Ishq	hi
68	G_N	Love	Wala	en
69	G_X	(	Love	univ
70	PSP	From	(	en
71	G_X	double_quotes	From	univ
